!! This surface is a combination of the following surfaces:
!! methanol-attack/methanol-attack.txt
!! acetyl-leaving/acetyl-leaving.txt
!! This surface is based upon a LD surface
!! Variables are -
!! Xvar Yvar GasSCF dGasSCF DeltaG dDeltaG DeltaGld dDeltaGld sum sumld surface
2.10 2.50 -1513.405252 146.94 -436.34 -139.89 -459.83 -145.68 9.45 3.66 !! methanol-attack/methanol-attack.txt
2.10 2.55 -1513.405352 146.88 -435.50 -139.05 -459.47 -145.32 10.23 3.96 !! methanol-attack/methanol-attack.txt
2.10 2.60 -1513.405522 146.77 -434.71 -138.26 -459.20 -145.05 10.91 4.12 !! methanol-attack/methanol-attack.txt
2.10 2.65 -1513.405774 146.61 -433.86 -137.41 -458.65 -144.50 11.60 4.51 !! methanol-attack/methanol-attack.txt
2.10 2.70 -1513.406116 146.40 -433.11 -136.66 -458.27 -144.12 12.14 4.68 !! methanol-attack/methanol-attack.txt
2.10 2.75 -1513.406552 146.12 -432.37 -135.92 -457.85 -143.70 12.60 4.82 !! methanol-attack/methanol-attack.txt
2.10 2.80 -1513.407088 145.79 -431.53 -135.08 -457.47 -143.32 13.11 4.87 !! methanol-attack/methanol-attack.txt
2.10 2.85 -1513.407723 145.39 -430.76 -134.31 -456.99 -142.84 13.48 4.95 !! methanol-attack/methanol-attack.txt
2.10 2.90 -1513.408460 144.93 -429.89 -133.44 -456.59 -142.44 13.89 4.89 !! methanol-attack/methanol-attack.txt
2.10 2.95 -1513.409304 144.40 -429.14 -132.69 -455.94 -141.79 14.11 5.01 !! methanol-attack/methanol-attack.txt
2.10 3.00 -1513.410250 143.80 -428.71 -132.26 -455.11 -140.96 13.94 5.24 !! methanol-attack/methanol-attack.txt
2.10 3.05 -1513.411431 143.06 -424.74 -128.29 -453.99 -139.84 17.17 5.62 !! methanol-attack/methanol-attack.txt
2.10 3.10 -1513.412787 142.21 -423.51 -127.06 -453.67 -139.52 17.55 5.09 !! methanol-attack/methanol-attack.txt
2.10 3.15 -1513.414243 141.30 -421.52 -125.07 -453.03 -138.88 18.63 4.82 !! methanol-attack/methanol-attack.txt
2.10 3.20 -1513.415758 140.35 -420.90 -124.45 -453.38 -139.23 18.30 3.52 !! methanol-attack/methanol-attack.txt
2.10 3.25 -1513.417285 139.39 -420.38 -123.93 -453.08 -138.93 17.86 2.86 !! methanol-attack/methanol-attack.txt
2.10 3.30 -1513.418832 138.42 -419.76 -123.31 -453.13 -138.98 17.51 1.84 !! methanol-attack/methanol-attack.txt

2.15 1.80 -1513.386929 158.44 -453.82 -157.37 -469.40 -155.25 3.47 5.59 !! methanol-attack/methanol-attack.txt
2.15 1.85 -1513.393639 154.23 -453.49 -157.04 -468.19 -154.04 -0.41 2.59 !! methanol-attack/methanol-attack.txt
2.15 1.90 -1513.398554 151.14 -450.92 -154.47 -467.48 -153.33 -0.93 0.21 !! methanol-attack/methanol-attack.txt
2.15 1.95 -1513.402080 148.93 -449.43 -152.98 -466.40 -152.25 -1.65 -0.92 !! methanol-attack/methanol-attack.txt
2.15 2.00 -1513.404494 147.42 -448.25 -151.80 -466.85 -152.70 -1.98 -1.65 !! old -2.88 !! methanol-attack/methanol-attack.txt
2.15 2.05 -1513.406071 146.43 -446.27 -149.82 -464.58 -150.43 -0.99 -1.60 !! methanol-attack/methanol-attack.txt
2.15 2.10 -1513.407027 145.83 -445.67 -149.22 -463.94 -149.79 -0.99 -1.56 !! methanol-attack/methanol-attack.txt
2.15 2.15 -1513.407519 145.52 -444.38 -147.93 -463.32 -149.17 -0.01 -1.25 !! methanol-attack/methanol-attack.txt
2.15 2.20 -1513.407692 145.41 -442.99 -146.54 -462.85 -148.70 1.27 -0.89 !! methanol-attack/methanol-attack.txt
2.15 2.25 -1513.407668 145.42 -441.52 -145.07 -462.39 -148.24 2.75 -0.42 !! methanol-attack/methanol-attack.txt
2.15 2.30 -1513.407530 145.51 -440.18 -143.73 -461.36 -147.21 4.18 0.70 !! methanol-attack/methanol-attack.txt
2.15 2.35 -1513.407335 145.63 -438.95 -142.50 -460.89 -146.74 5.53 1.29 !! methanol-attack/methanol-attack.txt
2.15 2.40 -1513.407139 145.76 -437.69 -141.24 -460.25 -146.10 6.92 2.06 !! methanol-attack/methanol-attack.txt
2.15 2.45 -1513.406982 145.85 -436.48 -140.03 -460.07 -145.92 8.22 2.33 !! methanol-attack/methanol-attack.txt
2.15 2.50 -1513.406906 145.90 -435.23 -138.78 -458.68 -144.53 9.52 3.77 !! methanol-attack/methanol-attack.txt
2.15 2.55 -1513.406887 145.91 -434.29 -137.84 -458.45 -144.30 10.47 4.01 !! methanol-attack/methanol-attack.txt
2.15 2.60 -1513.406944 145.88 -433.41 -136.96 -458.10 -143.95 11.32 4.33 !! methanol-attack/methanol-attack.txt
2.15 2.65 -1513.407088 145.79 -432.57 -136.12 -457.57 -143.42 12.07 4.77 !! methanol-attack/methanol-attack.txt
2.15 2.70 -1513.407326 145.64 -431.50 -135.05 -457.14 -142.99 12.99 5.05 !! methanol-attack/methanol-attack.txt
2.15 2.75 -1513.407663 145.43 -431.02 -134.57 -456.80 -142.65 13.26 5.18 !! methanol-attack/methanol-attack.txt
2.15 2.80 -1513.408105 145.15 -430.07 -133.62 -456.41 -142.26 13.93 5.29 !! methanol-attack/methanol-attack.txt
2.15 2.85 -1513.408651 144.81 -429.16 -132.71 -455.80 -141.65 14.50 5.56 !! methanol-attack/methanol-attack.txt
2.15 2.90 -1513.409303 144.40 -429.02 -132.57 -455.16 -141.01 14.23 5.79 !! methanol-attack/methanol-attack.txt
2.15 2.95 -1513.410064 143.92 -428.05 -131.60 -454.87 -140.72 14.72 5.60 !! methanol-attack/methanol-attack.txt
2.15 3.00 -1513.410899 143.40 -425.42 -128.97 -454.25 -140.10 16.83 5.70 !! methanol-attack/methanol-attack.txt
2.15 3.05 -1513.411993 142.71 -423.91 -127.46 -452.71 -138.56 17.65 6.55 !! methanol-attack/methanol-attack.txt
2.15 3.10 -1513.413261 141.91 -421.85 -125.40 -453.04 -138.89 18.91 5.42 !! methanol-attack/methanol-attack.txt
2.15 3.15 -1513.414650 141.04 -420.93 -124.48 -451.98 -137.83 18.96 5.61 !! methanol-attack/methanol-attack.txt
2.15 3.20 -1513.416118 140.12 -419.25 -122.80 -452.20 -138.05 19.72 4.47 !! methanol-attack/methanol-attack.txt
2.15 3.25 -1513.417609 139.19 -419.74 -123.29 -451.65 -137.50 18.30 4.09 !! methanol-attack/methanol-attack.txt
2.15 3.30 -1513.419124 138.24 -417.91 -121.46 -451.64 -137.49 19.18 3.15 !! methanol-attack/methanol-attack.txt

2.20 1.80 -1513.390170 156.40 -453.23 -156.78 -469.05 -154.90 2.02 3.90 !! methanol-attack/methanol-attack.txt
2.20 1.85 -1513.396727 152.29 -451.73 -155.28 -467.91 -153.76 -0.59 0.93 !! methanol-attack/methanol-attack.txt
2.20 1.90 -1513.401488 149.30 -450.26 -153.81 -466.78 -152.63 -2.11 -0.93 !! methanol-attack/methanol-attack.txt
2.20 1.95 -1513.404855 147.19 -448.88 -152.43 -465.89 -151.74 -2.84 -2.15 !! methanol-attack/methanol-attack.txt
2.20 2.00 -1513.407132 145.76 -446.85 -150.40 -466.07 -151.92 -2.24 -2.69 !! old -3.76 !! methanol-attack/methanol-attack.txt
2.20 2.05 -1513.408556 144.87 -446.06 -149.61 -464.14 -149.99 -2.34 -2.72 !! methanol-attack/methanol-attack.txt
2.20 2.10 -1513.409367 144.36 -444.77 -148.32 -463.05 -148.90 -1.56 -2.14 !! methanol-attack/methanol-attack.txt
2.20 2.15 -1513.409717 144.14 -443.30 -146.85 -462.56 -148.41 -0.31 -1.87 !! methanol-attack/methanol-attack.txt
2.20 2.20 -1513.409749 144.12 -442.47 -146.02 -462.05 -147.90 0.50 -1.38 !! methanol-attack/methanol-attack.txt
2.20 2.25 -1513.409580 144.22 -440.47 -144.02 -461.66 -147.51 2.60 -0.89 !! methanol-attack/methanol-attack.txt
2.20 2.30 -1513.409304 144.40 -439.22 -142.77 -460.80 -146.65 4.03 0.15 !! methanol-attack/methanol-attack.txt
2.20 2.35 -1513.408973 144.61 -437.91 -141.46 -460.19 -146.04 5.55 0.97 !! methanol-attack/methanol-attack.txt
2.20 2.40 -1513.408643 144.81 -436.61 -140.16 -459.59 -145.44 7.05 1.77 !! methanol-attack/methanol-attack.txt
2.20 2.45 -1513.408356 144.99 -435.39 -138.94 -459.03 -144.88 8.45 2.51 !! methanol-attack/methanol-attack.txt
2.20 2.50 -1513.408151 145.12 -434.09 -137.64 -458.14 -143.99 9.88 3.53 !! methanol-attack/methanol-attack.txt
2.20 2.55 -1513.408017 145.21 -433.18 -136.73 -457.44 -143.29 10.88 4.32 !! methanol-attack/methanol-attack.txt
2.20 2.60 -1513.407963 145.24 -432.27 -135.82 -457.27 -143.12 11.82 4.52 !! methanol-attack/methanol-attack.txt
2.20 2.65 -1513.408000 145.22 -431.42 -134.97 -456.73 -142.58 12.65 5.04 !! methanol-attack/methanol-attack.txt
2.20 2.70 -1513.408136 145.13 -430.62 -134.17 -456.04 -141.89 13.36 5.64 !! methanol-attack/methanol-attack.txt
2.20 2.75 -1513.408376 144.98 -429.77 -133.32 -455.83 -141.68 14.06 5.70 !! methanol-attack/methanol-attack.txt
2.20 2.80 -1513.408724 144.76 -428.90 -132.45 -455.27 -141.12 14.71 6.04 !! methanol-attack/methanol-attack.txt
2.20 2.85 -1513.409181 144.47 -428.09 -131.64 -454.72 -140.57 15.23 6.30 !! methanol-attack/methanol-attack.txt
2.20 2.90 -1513.409749 144.12 -427.15 -130.70 -454.30 -140.15 15.82 6.37 !! methanol-attack/methanol-attack.txt
2.20 2.95 -1513.410429 143.69 -426.35 -129.90 -453.98 -139.83 16.19 6.26 !! methanol-attack/methanol-attack.txt
2.20 3.00 -1513.411163 143.23 -424.11 -127.66 -453.14 -138.99 17.97 6.64 !! methanol-attack/methanol-attack.txt
2.20 3.05 -1513.412167 142.60 -422.25 -125.80 -451.98 -137.83 19.20 7.17 !! methanol-attack/methanol-attack.txt
2.20 3.10 -1513.413352 141.86 -421.25 -124.80 -452.37 -138.22 19.46 6.04 !! methanol-attack/methanol-attack.txt
2.20 3.15 -1513.414659 141.04 -419.43 -122.98 -451.02 -136.87 20.46 6.57 !! methanol-attack/methanol-attack.txt
2.20 3.20 -1513.416071 140.15 -418.40 -121.95 -450.67 -136.52 20.60 6.03 !! methanol-attack/methanol-attack.txt
2.20 3.25 -1513.417524 139.24 -415.68 -119.23 -449.86 -135.71 22.41 5.93 !! methanol-attack/methanol-attack.txt
2.20 3.30 -1513.419005 138.31 -417.13 -120.68 -450.18 -136.03 20.03 4.68 !! methanol-attack/methanol-attack.txt

2.25 1.80 -1513.393014 154.62 -452.71 -156.26 -468.89 -154.74 0.76 2.28 !! methanol-attack/methanol-attack.txt
2.25 1.85 -1513.399430 150.59 -451.06 -154.61 -467.74 -153.59 -1.62 -0.60 !! methanol-attack/methanol-attack.txt
2.25 1.90 -1513.404049 147.70 -449.53 -153.08 -466.26 -152.11 -2.98 -2.01 !! methanol-attack/methanol-attack.txt
2.25 1.95 -1513.407265 145.68 -448.07 -151.62 -465.34 -151.19 -3.54 -3.11 !! methanol-attack/methanol-attack.txt
2.25 2.00 -1513.409420 144.33 -446.75 -150.30 -465.95 -151.80 -3.57 -3.44 !!old  -5.07 !! methanol-attack/methanol-attack.txt
2.25 2.05 -1513.410698 143.52 -445.31 -148.86 -463.66 -149.51 -2.94 -3.59 !! methanol-attack/methanol-attack.txt
2.25 2.10 -1513.411373 143.10 -443.95 -147.50 -462.87 -148.72 -2.00 -3.22 !! methanol-attack/methanol-attack.txt
2.25 2.15 -1513.411589 142.96 -442.47 -146.02 -461.94 -147.79 -0.66 -2.43 !! methanol-attack/methanol-attack.txt
2.25 2.20 -1513.411488 143.03 -441.23 -144.78 -461.33 -147.18 0.65 -1.75 !! methanol-attack/methanol-attack.txt
2.25 2.25 -1513.411182 143.22 -441.95 -145.50 -461.34 -147.19 0.12 -1.57 !! methanol-attack/methanol-attack.txt
2.25 2.30 -1513.410772 143.48 -438.23 -141.78 -460.43 -146.28 4.10 -0.40 !! methanol-attack/methanol-attack.txt
2.25 2.35 -1513.410311 143.77 -436.92 -140.47 -459.41 -145.26 5.70 0.91 !! methanol-attack/methanol-attack.txt
2.25 2.40 -1513.409852 144.05 -435.57 -139.12 -459.04 -144.89 7.33 1.56 !! methanol-attack/methanol-attack.txt
2.25 2.45 -1513.409438 144.31 -434.27 -137.82 -458.06 -143.91 8.89 2.80 !! methanol-attack/methanol-attack.txt
2.25 2.50 -1513.409088 144.53 -433.32 -136.87 -457.40 -143.25 10.06 3.68 !! methanol-attack/methanol-attack.txt
2.25 2.55 -1513.408859 144.68 -431.93 -135.48 -456.95 -142.80 11.60 4.28 !! methanol-attack/methanol-attack.txt
2.25 2.60 -1513.408695 144.78 -431.01 -134.56 -456.40 -142.25 12.62 4.93 !! methanol-attack/methanol-attack.txt
2.25 2.65 -1513.408627 144.82 -430.23 -133.78 -455.76 -141.61 13.44 5.61 !! methanol-attack/methanol-attack.txt
2.25 2.70 -1513.408663 144.80 -429.41 -132.96 -455.30 -141.15 14.24 6.05 !! methanol-attack/methanol-attack.txt
2.25 2.75 -1513.408806 144.71 -428.53 -132.08 -454.79 -140.64 15.03 6.47 !! methanol-attack/methanol-attack.txt
2.25 2.80 -1513.409062 144.55 -427.71 -131.26 -454.67 -140.52 15.69 6.43 !! methanol-attack/methanol-attack.txt
2.25 2.85 -1513.409431 144.32 -426.28 -129.83 -454.00 -139.85 16.89 6.87 !! methanol-attack/methanol-attack.txt
2.25 2.90 -1513.409915 144.01 -426.05 -129.60 -453.22 -139.07 16.81 7.34 !! methanol-attack/methanol-attack.txt
2.25 2.95 -1513.410513 143.64 -425.07 -128.62 -452.93 -138.78 17.42 7.26 !! methanol-attack/methanol-attack.txt
2.25 3.00 -1513.411153 143.24 -423.39 -126.94 -451.76 -137.61 18.70 8.03 !! methanol-attack/methanol-attack.txt
2.25 3.05 -1513.412066 142.66 -421.40 -124.95 -450.97 -136.82 20.11 8.24 !! methanol-attack/methanol-attack.txt
2.25 3.10 -1513.413176 141.97 -420.27 -123.82 -451.30 -137.15 20.55 7.22 !! methanol-attack/methanol-attack.txt
2.25 3.15 -1513.414387 141.21 -418.35 -121.90 -450.04 -135.89 21.71 7.72 !! methanol-attack/methanol-attack.txt
2.25 3.20 -1513.415734 140.36 -417.12 -120.67 -449.38 -135.23 22.09 7.53 !! methanol-attack/methanol-attack.txt
2.25 3.25 -1513.417146 139.48 -416.24 -119.79 -449.25 -135.10 22.09 6.78 !! methanol-attack/methanol-attack.txt
2.25 3.30 -1513.418591 138.57 -415.67 -119.22 -448.98 -134.83 21.75 6.14 !! methanol-attack/methanol-attack.txt

2.30 1.80 -1513.395558 153.02 -452.10 -155.65 -468.33 -154.18 -0.23 1.24 !! methanol-attack/methanol-attack.txt
2.30 1.85 -1513.401844 149.08 -450.56 -154.11 -467.38 -153.23 -2.63 -1.75 !! methanol-attack/methanol-attack.txt
2.30 1.90 -1513.406333 146.26 -448.78 -152.33 -465.73 -151.58 -3.67 -2.92 !! methanol-attack/methanol-attack.txt
2.30 1.95 -1513.409413 144.33 -447.41 -150.96 -464.80 -150.65 -4.23 -3.92 !! methanol-attack/methanol-attack.txt
2.30 2.00 -1513.411451 143.05 -446.27 -149.82 -465.61 -151.46 -4.37 -4.52 !! old -6.01 !! methanol-attack/methanol-attack.txt
2.30 2.05 -1513.412594 142.33 -444.57 -148.12 -463.11 -148.96 -3.39 -4.23 !! methanol-attack/methanol-attack.txt
2.30 2.10 -1513.413141 141.99 -443.20 -146.75 -462.43 -148.28 -2.36 -3.89 !! methanol-attack/methanol-attack.txt
2.30 2.15 -1513.413231 141.93 -441.66 -145.21 -461.42 -147.27 -0.88 -2.94 !! methanol-attack/methanol-attack.txt
2.30 2.20 -1513.413004 142.08 -440.39 -143.94 -460.77 -146.62 0.54 -2.14 !! methanol-attack/methanol-attack.txt
2.30 2.25 -1513.412569 142.35 -438.89 -142.44 -460.39 -146.24 2.31 -1.49 !! methanol-attack/methanol-attack.txt
2.30 2.30 -1513.412031 142.69 -437.38 -140.93 -459.60 -145.45 4.16 -0.36 !! methanol-attack/methanol-attack.txt
2.30 2.35 -1513.411444 143.05 -436.07 -139.62 -458.89 -144.74 5.83 0.71 !! methanol-attack/methanol-attack.txt
2.30 2.40 -1513.410861 143.42 -434.67 -138.22 -458.34 -144.19 7.60 1.63 !! methanol-attack/methanol-attack.txt
2.30 2.45 -1513.410323 143.76 -433.32 -136.87 -457.39 -143.24 9.29 2.92 !! methanol-attack/methanol-attack.txt
2.30 2.50 -1513.409863 144.05 -432.36 -135.91 -456.76 -142.61 10.54 3.84 !! methanol-attack/methanol-attack.txt
2.30 2.55 -1513.409508 144.27 -430.93 -134.48 -455.93 -141.78 12.19 4.89 !! methanol-attack/methanol-attack.txt
2.30 2.60 -1513.409238 144.44 -431.17 -134.72 -455.90 -141.75 12.12 5.09 !! methanol-attack/methanol-attack.txt
2.30 2.65 -1513.409067 144.55 -429.12 -132.67 -455.04 -140.89 14.28 6.06 !! methanol-attack/methanol-attack.txt
2.30 2.70 -1513.409003 144.59 -428.23 -131.78 -454.50 -140.35 15.21 6.64 !! methanol-attack/methanol-attack.txt
2.30 2.75 -1513.409052 144.56 -427.45 -131.00 -453.72 -139.57 15.96 7.39 !! methanol-attack/methanol-attack.txt
2.30 2.80 -1513.409214 144.45 -426.50 -130.05 -453.42 -139.27 16.80 7.58 !! methanol-attack/methanol-attack.txt
2.30 2.85 -1513.409497 144.28 -425.65 -129.20 -452.84 -138.69 17.48 7.99 !! methanol-attack/methanol-attack.txt
2.30 2.90 -1513.409895 144.03 -424.80 -128.35 -452.61 -138.46 18.08 7.97 !! methanol-attack/methanol-attack.txt
2.30 2.95 -1513.410414 143.70 -423.90 -127.45 -451.70 -137.55 18.65 8.55 !! methanol-attack/methanol-attack.txt
2.30 3.00 -1513.410969 143.35 -422.73 -126.28 -450.74 -136.59 19.47 9.16 !! methanol-attack/methanol-attack.txt
2.30 3.05 -1513.411785 142.84 -420.32 -123.87 -449.77 -135.62 21.37 9.62 !! methanol-attack/methanol-attack.txt
2.30 3.10 -1513.412818 142.19 -419.23 -122.78 -449.92 -135.77 21.81 8.82 !! methanol-attack/methanol-attack.txt
2.30 3.15 -1513.413934 141.49 -417.44 -120.99 -448.68 -134.53 22.90 9.36 !! methanol-attack/methanol-attack.txt
2.30 3.20 -1513.415209 140.69 -415.83 -119.38 -448.30 -134.15 23.71 8.94 !! methanol-attack/methanol-attack.txt
2.30 3.25 -1513.416571 139.84 -415.08 -118.63 -447.93 -133.78 23.61 8.46 !! methanol-attack/methanol-attack.txt
2.30 3.30 -1513.417977 138.96 -414.42 -117.97 -447.70 -133.55 23.39 7.81 !! methanol-attack/methanol-attack.txt

2.35 1.80 -1513.397880 151.57 -451.51 -155.06 -467.93 -153.78 -1.09 0.19 !! methanol-attack/methanol-attack.txt
2.35 1.85 -1513.404048 147.70 -449.98 -153.53 -466.64 -152.49 -3.43 -2.39 !! methanol-attack/methanol-attack.txt
2.35 1.90 -1513.408416 144.96 -448.16 -151.71 -465.75 -151.60 -4.35 -4.24 !! methanol-attack/methanol-attack.txt
2.35 1.95 -1513.411376 143.10 -446.73 -150.28 -464.55 -150.40 -4.78 -4.90 !! methanol-attack/methanol-attack.txt
2.35 2.00 -1513.413304 141.89 -445.26 -148.81 -464.97 -150.82 -4.52 -4.99 !!old  -6.53 !! methanol-attack/methanol-attack.txt
2.35 2.05 -1513.414319 141.25 -443.74 -147.29 -462.64 -148.49 -3.64 -4.84 !! methanol-attack/methanol-attack.txt
2.35 2.10 -1513.414747 140.98 -442.43 -145.98 -461.89 -147.74 -2.60 -4.36 !! methanol-attack/methanol-attack.txt
2.35 2.15 -1513.414719 141.00 -441.01 -144.56 -460.95 -146.80 -1.16 -3.40 !! methanol-attack/methanol-attack.txt
2.35 2.20 -1513.414373 141.22 -439.54 -143.09 -460.21 -146.06 0.53 -2.44 !! methanol-attack/methanol-attack.txt
2.35 2.25 -1513.413819 141.56 -438.20 -141.75 -459.43 -145.28 2.21 -1.32 !! methanol-attack/methanol-attack.txt
2.35 2.30 -1513.413155 141.98 -436.47 -140.02 -459.06 -144.91 4.36 -0.53 !! methanol-attack/methanol-attack.txt
2.35 2.35 -1513.412449 142.42 -435.20 -138.75 -457.94 -143.79 6.07 1.03 !! methanol-attack/methanol-attack.txt
2.35 2.40 -1513.411746 142.87 -433.82 -137.37 -457.36 -143.21 7.90 2.06 !! methanol-attack/methanol-attack.txt
2.35 2.45 -1513.411089 143.28 -432.38 -135.93 -456.52 -142.37 9.75 3.31 !! methanol-attack/methanol-attack.txt
2.35 2.50 -1513.410522 143.63 -431.30 -134.85 -455.71 -141.56 11.18 4.47 !! methanol-attack/methanol-attack.txt
2.35 2.55 -1513.410046 143.93 -430.11 -133.66 -455.37 -141.22 12.67 5.11 !! methanol-attack/methanol-attack.txt
2.35 2.60 -1513.409668 144.17 -428.95 -132.50 -454.78 -140.63 14.07 5.94 !! methanol-attack/methanol-attack.txt
2.35 2.65 -1513.409396 144.34 -428.00 -131.55 -454.23 -140.08 15.19 6.66 !! methanol-attack/methanol-attack.txt
2.35 2.70 -1513.409235 144.44 -427.01 -130.56 -453.53 -139.38 16.28 7.46 !! methanol-attack/methanol-attack.txt
2.35 2.75 -1513.409189 144.47 -426.24 -129.79 -453.06 -138.91 17.08 7.96 !! methanol-attack/methanol-attack.txt
2.35 2.80 -1513.409263 144.42 -425.28 -128.83 -452.53 -138.38 17.99 8.44 !! methanol-attack/methanol-attack.txt
2.35 2.85 -1513.409456 144.30 -424.42 -127.97 -451.85 -137.70 18.73 9.00 !! methanol-attack/methanol-attack.txt
2.35 2.90 -1513.409770 144.11 -423.58 -127.13 -451.39 -137.24 19.38 9.27 !! methanol-attack/methanol-attack.txt
2.35 2.95 -1513.410208 143.83 -422.67 -126.22 -450.54 -136.39 20.01 9.84 !! methanol-attack/methanol-attack.txt
2.35 3.00 -1513.410682 143.53 -421.56 -125.11 -449.77 -135.62 20.82 10.31 !! methanol-attack/methanol-attack.txt
2.35 3.05 -1513.411403 143.08 -419.41 -122.96 -448.90 -134.75 22.52 10.73 !! methanol-attack/methanol-attack.txt
2.35 3.10 -1513.412355 142.48 -418.15 -121.70 -448.91 -134.76 23.18 10.12 !! methanol-attack/methanol-attack.txt
2.35 3.15 -1513.413384 141.84 -416.61 -120.16 -448.09 -133.94 24.08 10.30 !! methanol-attack/methanol-attack.txt
2.35 3.20 -1513.414573 141.09 -415.25 -118.80 -447.21 -133.06 24.69 10.43 !! methanol-attack/methanol-attack.txt
2.35 3.25 -1513.415879 140.27 -413.88 -117.43 -446.74 -132.59 25.24 10.08 !! methanol-attack/methanol-attack.txt
2.35 3.30 -1513.417240 139.42 -413.11 -116.66 -446.70 -132.55 25.16 9.27 !! methanol-attack/methanol-attack.txt

2.40 1.80 -1513.400042 150.21 -451.06 -154.61 -467.83 -153.68 -2.00 -1.07 !! methanol-attack/methanol-attack.txt
2.40 1.85 -1513.406095 146.41 -449.43 -152.98 -466.64 -152.49 -4.17 -3.68 !! methanol-attack/methanol-attack.txt
2.40 1.90 -1513.410356 143.74 -447.68 -151.23 -465.47 -151.32 -5.09 -5.18 !! methanol-attack/methanol-attack.txt
2.40 1.95 -1513.413210 141.95 -446.06 -149.61 -463.83 -149.68 -5.26 -5.33 !! methanol-attack/methanol-attack.txt
2.40 2.00 -1513.415032 140.80 -444.56 -148.11 -464.60 -150.45 -4.91 -5.98 !! -7.25 !! methanol-attack/methanol-attack.txt
2.40 2.05 -1513.415929 140.24 -443.08 -146.63 -462.15 -148.00 -3.99 -5.36 !! methanol-attack/methanol-attack.txt
2.40 2.10 -1513.416247 140.04 -441.69 -145.24 -461.26 -147.11 -2.80 -4.67 !! methanol-attack/methanol-attack.txt
2.40 2.15 -1513.416110 140.13 -440.26 -143.81 -460.38 -146.23 -1.28 -3.70 !! methanol-attack/methanol-attack.txt
2.40 2.20 -1513.415652 140.41 -438.77 -142.32 -459.66 -145.51 0.49 -2.70 !! methanol-attack/methanol-attack.txt
2.40 2.25 -1513.414987 140.83 -437.56 -141.11 -458.72 -144.57 2.12 -1.34 !! methanol-attack/methanol-attack.txt
2.40 2.30 -1513.414203 141.32 -435.44 -138.99 -458.15 -144.00 4.73 -0.28 !! methanol-attack/methanol-attack.txt
2.40 2.35 -1513.413383 141.84 -434.31 -137.86 -457.59 -143.44 6.38 0.80 !! methanol-attack/methanol-attack.txt
2.40 2.40 -1513.412566 142.35 -432.95 -136.50 -456.55 -142.40 8.25 2.35 !! methanol-attack/methanol-attack.txt
2.40 2.45 -1513.411794 142.84 -431.79 -135.34 -455.69 -141.54 9.90 3.70 !! methanol-attack/methanol-attack.txt
2.40 2.50 -1513.411124 143.26 -430.39 -133.94 -455.10 -140.95 11.72 4.71 !! methanol-attack/methanol-attack.txt
2.40 2.55 -1513.410531 143.63 -429.04 -132.59 -454.29 -140.14 13.44 5.89 !! methanol-attack/methanol-attack.txt
2.40 2.60 -1513.410045 143.93 -427.87 -131.42 -454.09 -139.94 14.91 6.39 !! methanol-attack/methanol-attack.txt
2.40 2.65 -1513.409674 144.17 -426.97 -130.52 -453.61 -139.46 16.05 7.11 !! methanol-attack/methanol-attack.txt
2.40 2.70 -1513.409417 144.33 -426.04 -129.59 -452.99 -138.84 17.14 7.89 !! methanol-attack/methanol-attack.txt
2.40 2.75 -1513.409278 144.41 -425.10 -128.65 -452.37 -138.22 18.16 8.59 !! methanol-attack/methanol-attack.txt
2.40 2.80 -1513.409262 144.42 -424.12 -127.67 -451.76 -137.61 19.15 9.21 !! methanol-attack/methanol-attack.txt
2.40 2.85 -1513.409368 144.36 -423.24 -126.79 -451.00 -136.85 19.97 9.91 !! methanol-attack/methanol-attack.txt
2.40 2.90 -1513.409598 144.21 -422.41 -125.96 -450.33 -136.18 20.65 10.43 !! methanol-attack/methanol-attack.txt
2.40 2.95 -1513.409954 143.99 -421.48 -125.03 -449.59 -135.44 21.36 10.95 !! methanol-attack/methanol-attack.txt
2.40 3.00 -1513.410349 143.74 -420.41 -123.96 -448.94 -134.79 22.18 11.35 !! methanol-attack/methanol-attack.txt
2.40 3.05 -1513.410981 143.35 -418.49 -122.04 -447.83 -133.68 23.71 12.07 !! methanol-attack/methanol-attack.txt
2.40 3.10 -1513.411847 142.80 -417.08 -120.63 -447.83 -133.68 24.57 11.52 !! methanol-attack/methanol-attack.txt
2.40 3.15 -1513.412793 142.21 -415.73 -119.28 -446.66 -132.51 25.33 12.10 !! methanol-attack/methanol-attack.txt
2.40 3.20 -1513.413891 141.52 -414.08 -117.63 -446.01 -131.86 26.29 12.06 !! methanol-attack/methanol-attack.txt
2.40 3.25 -1513.415130 140.74 -412.83 -116.38 -445.49 -131.34 26.76 11.80 !! methanol-attack/methanol-attack.txt
2.40 3.30 -1513.416441 139.92 -412.07 -115.62 -445.25 -131.10 26.70 11.22 !! methanol-attack/methanol-attack.txt

2.45 1.80 -1513.402088 148.93 -450.27 -153.82 -467.64 -153.49 -2.49 -2.16 !! methanol-attack/methanol-attack.txt
2.45 1.85 -1513.408045 145.19 -448.51 -152.06 -466.30 -152.15 -4.47 -4.56 !! methanol-attack/methanol-attack.txt
2.45 1.90 -1513.412201 142.58 -446.94 -150.49 -464.96 -150.81 -5.51 -5.83 !! methanol-attack/methanol-attack.txt
2.45 1.95 -1513.414954 140.85 -445.43 -148.98 -463.24 -149.09 -5.73 -5.84 !! methanol-attack/methanol-attack.txt
