!! This surface is a combination of the following surfaces:
!! methanol-attack/methanol-attack.txt
!! acetyl-leaving/acetyl-leaving.txt
!! This surface is based upon a LD surface
!! Variables are -
!! Xvar Yvar GasSCF dGasSCF DeltaG dDeltaG DeltaGld dDeltaGld sum sumld surface
1.85 2.50 -1513.384359 160.05 -443.16 -146.71 -465.55 -151.40 15.74 11.05 !! methanol-attack/methanol-attack.txt
1.85 2.55 -1513.385089 159.59 -442.54 -146.09 -465.16 -151.01 15.90 10.98 !! methanol-attack/methanol-attack.txt
1.85 2.60 -1513.385858 159.11 -441.79 -145.34 -464.96 -150.81 16.17 10.70 !! methanol-attack/methanol-attack.txt
1.85 2.65 -1513.386679 158.59 -441.10 -144.65 -464.54 -150.39 16.34 10.60 !! methanol-attack/methanol-attack.txt
1.85 2.70 -1513.387559 158.04 -440.48 -144.03 -464.25 -150.10 16.41 10.34 !! methanol-attack/methanol-attack.txt
1.85 2.75 -1513.388499 157.45 -439.54 -143.09 -463.85 -149.70 16.76 10.15 !! methanol-attack/methanol-attack.txt
1.85 2.80 -1513.389516 156.81 -438.42 -141.97 -463.70 -149.55 17.24 9.66 !! methanol-attack/methanol-attack.txt
1.85 2.85 -1513.390604 156.13 -437.54 -141.09 -463.25 -149.10 17.44 9.43 !! methanol-attack/methanol-attack.txt
1.85 2.90 -1513.391778 155.40 -437.04 -140.59 -462.74 -148.59 17.21 9.21 !! methanol-attack/methanol-attack.txt
1.85 2.95 -1513.393107 154.56 -435.01 -138.56 -462.72 -148.57 18.40 8.39 !! methanol-attack/methanol-attack.txt
1.85 3.00 -1513.394590 153.63 -432.65 -136.20 -460.97 -146.82 19.83 9.21 !! methanol-attack/methanol-attack.txt
1.85 3.05 -1513.396207 152.62 -431.38 -134.93 -461.31 -147.16 20.09 7.86 !! methanol-attack/methanol-attack.txt
1.85 3.10 -1513.397894 151.56 -430.31 -133.86 -461.20 -147.05 20.10 6.91 !! methanol-attack/methanol-attack.txt
1.85 3.15 -1513.399591 150.49 -429.63 -133.18 -461.08 -146.93 19.71 5.96 !! methanol-attack/methanol-attack.txt
1.85 3.20 -1513.401294 149.42 -428.98 -132.53 -460.70 -146.55 19.29 5.27 !! methanol-attack/methanol-attack.txt
1.85 3.25 -1513.402983 148.36 -428.32 -131.87 -460.19 -146.04 18.89 4.72 !! methanol-attack/methanol-attack.txt
1.85 3.30 -1513.404686 147.30 -427.64 -131.19 -459.99 -145.84 18.51 3.86 !! methanol-attack/methanol-attack.txt

1.90 1.80 -1513.359437 175.69 -457.53 -161.08 -471.93 -157.78 17.01 20.31 !! methanol-attack/methanol-attack.txt
1.90 1.85 -1513.367112 170.87 -456.14 -159.69 -470.88 -156.73 13.58 16.54 !! methanol-attack/methanol-attack.txt
1.90 1.90 -1513.372982 167.19 -454.85 -158.40 -469.98 -155.83 11.19 13.76 !! methanol-attack/methanol-attack.txt
1.90 1.95 -1513.377441 164.39 -453.68 -157.23 -468.63 -154.48 9.56 12.31 !! methanol-attack/methanol-attack.txt
1.90 2.00 -1513.380759 162.31 -452.03 -155.58 -470.23 -156.08 9.13 10.57 !! old 8.63 !! methanol-attack/methanol-attack.txt
1.90 2.05 -1513.383263 160.74 -451.46 -155.01 -467.94 -153.79 8.13 9.35 !! methanol-attack/methanol-attack.txt
1.90 2.10 -1513.385092 159.59 -450.42 -153.97 -467.46 -153.31 8.02 8.68 !! methanol-attack/methanol-attack.txt
1.90 2.15 -1513.386433 158.75 -449.31 -152.86 -467.44 -153.29 8.29 7.86 !! methanol-attack/methanol-attack.txt
1.90 2.20 -1513.387394 158.15 -448.04 -151.59 -467.09 -152.94 8.96 7.61 !! methanol-attack/methanol-attack.txt
1.90 2.25 -1513.388185 157.65 -446.85 -150.40 -466.36 -152.21 9.65 7.84 !! methanol-attack/methanol-attack.txt
1.90 2.30 -1513.388827 157.25 -445.71 -149.26 -465.68 -151.53 10.39 8.12 !! methanol-attack/methanol-attack.txt
1.90 2.35 -1513.389389 156.89 -444.62 -148.17 -465.51 -151.36 11.12 7.93 !! methanol-attack/methanol-attack.txt
1.90 2.40 -1513.389927 156.56 -443.54 -147.09 -465.02 -150.87 11.87 8.09 !! methanol-attack/methanol-attack.txt
1.90 2.45 -1513.390495 156.20 -442.33 -145.88 -464.68 -150.53 12.72 8.07 !! methanol-attack/methanol-attack.txt
1.90 2.50 -1513.391065 155.84 -441.60 -145.15 -464.47 -150.32 13.09 7.92 !! methanol-attack/methanol-attack.txt
1.90 2.55 -1513.391668 155.46 -440.90 -144.45 -464.10 -149.95 13.41 7.91 !! methanol-attack/methanol-attack.txt
1.90 2.60 -1513.392314 155.06 -440.22 -143.77 -463.86 -149.71 13.69 7.75 !! methanol-attack/methanol-attack.txt
1.90 2.65 -1513.393019 154.62 -439.55 -143.10 -463.52 -149.37 13.92 7.65 !! methanol-attack/methanol-attack.txt
1.90 2.70 -1513.393790 154.13 -439.41 -142.96 -463.23 -149.08 13.57 7.45 !! methanol-attack/methanol-attack.txt
1.90 2.75 -1513.394627 153.61 -438.13 -141.68 -462.60 -148.45 14.33 7.56 !! methanol-attack/methanol-attack.txt
1.90 2.80 -1513.395549 153.03 -436.83 -140.38 -462.17 -148.02 15.05 7.41 !! methanol-attack/methanol-attack.txt
1.90 2.85 -1513.396545 152.40 -436.65 -140.20 -461.68 -147.53 14.60 7.27 !! methanol-attack/methanol-attack.txt
1.90 2.90 -1513.397629 151.72 -435.57 -139.12 -461.39 -147.24 15.00 6.88 !! methanol-attack/methanol-attack.txt
1.90 2.95 -1513.398853 150.96 -433.48 -137.03 -461.24 -147.09 16.33 6.27 !! methanol-attack/methanol-attack.txt
1.90 3.00 -1513.400227 150.09 -430.99 -134.54 -459.30 -145.15 17.95 7.34 !! methanol-attack/methanol-attack.txt
1.90 3.05 -1513.401774 149.12 -429.74 -133.29 -459.29 -145.14 18.23 6.38 !! methanol-attack/methanol-attack.txt
1.90 3.10 -1513.403405 148.10 -428.56 -132.11 -459.65 -145.50 18.39 5.00 !! methanol-attack/methanol-attack.txt
1.90 3.15 -1513.405062 147.06 -427.86 -131.41 -459.46 -145.31 18.05 4.15 !! methanol-attack/methanol-attack.txt
1.90 3.20 -1513.406730 146.01 -427.19 -130.74 -459.39 -145.24 17.67 3.17 !! methanol-attack/methanol-attack.txt
1.90 3.25 -1513.408387 144.97 -426.57 -130.12 -458.66 -144.51 17.25 2.86 !! methanol-attack/methanol-attack.txt
1.90 3.30 -1513.410059 143.92 -425.87 -129.42 -458.46 -144.31 16.90 2.01 !! methanol-attack/methanol-attack.txt

1.95 1.80 -1513.367123 170.87 -456.72 -160.27 -471.33 -157.18 13.00 16.09 !! methanol-attack/methanol-attack.txt
1.95 1.85 -1513.374578 166.19 -455.97 -159.52 -470.34 -156.19 9.07 12.40 !! methanol-attack/methanol-attack.txt
1.95 1.90 -1513.380231 162.64 -453.48 -157.03 -469.12 -154.97 8.01 10.07 !! methanol-attack/methanol-attack.txt
1.95 1.95 -1513.384486 159.97 -452.76 -156.31 -468.02 -153.87 6.06 8.50 !! methanol-attack/methanol-attack.txt
1.95 2.00 -1513.387597 158.02 -451.03 -154.58 -469.28 -155.13 5.84 6.86 !! old 5.29 !! methanol-attack/methanol-attack.txt
1.95 2.05 -1513.389892 156.58 -450.42 -153.97 -467.00 -152.85 5.01 6.13 !! methanol-attack/methanol-attack.txt
1.95 2.10 -1513.391525 155.55 -449.41 -152.96 -466.64 -152.49 4.99 5.46 !! methanol-attack/methanol-attack.txt
1.95 2.15 -1513.392676 154.83 -448.23 -151.78 -466.36 -152.21 5.45 5.02 !! methanol-attack/methanol-attack.txt
1.95 2.20 -1513.393473 154.33 -446.80 -150.35 -465.99 -151.84 6.38 4.89 !! methanol-attack/methanol-attack.txt
1.95 2.25 -1513.394089 153.95 -445.67 -149.22 -465.49 -151.34 7.13 5.01 !! methanol-attack/methanol-attack.txt
1.95 2.30 -1513.394563 153.65 -444.27 -147.82 -464.56 -150.41 8.23 5.64 !! methanol-attack/methanol-attack.txt
1.95 2.35 -1513.394964 153.40 -443.34 -146.89 -464.22 -150.07 8.91 5.73 !! methanol-attack/methanol-attack.txt
1.95 2.40 -1513.395347 153.16 -442.31 -145.86 -464.17 -150.02 9.70 5.54 !! methanol-attack/methanol-attack.txt
